name,price,side_effects,used_for
Ecosprin Gold  10 Capsule,₹ 98.68,"Increased bleeding tendency,Abdominal pain,Indigestion,Bruise,Nosebleeds,Gastrointestinal bleeding,Diarrhea,","Prevention of Heart attack,"
Enteroquinol 250mg Tablet,₹ 44.40,"Headache,Nausea,Vomiting,Abnormal liver function tests,Fever,Hair loss,Dizziness,Abdominal pain,Vertigo,","Worm infections,Intestinal amoebiasis,"
Eliquis 5mg Tablet,"₹ 1,450","Bleeding,","Treatment and prevention of Blood clots,"
Enzomac Plus Tablet,₹ 256,"Nausea,Vomiting,Heartburn,Indigestion,Diarrhea,Loss of appetite,Stomach pain,","Pain relief,"
Emanzen-D Tablet,₹ 174.60,"Nausea,Vomiting,Heartburn,Stomach pain,Indigestion,Diarrhea,Loss of appetite,","Pain relief,"
Enzar Forte  Tablet,₹ 135.50,"Nausea,Constipation,Stomach pain,Bloating,Diarrhea,","Indigestion,"
Etizola 0.25 Tablet,₹ 37.40,"Altered libido,Confusion,Depression,Drowsiness,Fainting,Headache,Muscle coordination impaired,Muscle weakness,Sedation,Slurred speech,Tremor,Visual impairment,","Short term anxiety,Insomnia,"
Eldervit 12 Combipack,₹ 29.70,"No common side effects seen,","Nutritional deficiencies,"
Eliwel 10mg Tablet,₹ 25.53,"Constipation,Dryness in mouth,Increased heart rate,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Aggressive behavior,Nasal congestion (stuffy nose),Sleepiness,Sweating,Dizziness,Headache,Nausea,Tremor,Speech disorder,Accomodation disorder,Palpitations,Decreased libido,Difficulty in paying attention,","Depression,Neuropathic pain,Migraine,"
Envas 5 Tablet,₹ 53.72,"Decreased blood pressure,Cough,Increased potassium level in blood,Fatigue,Weakness,Dizziness,","Hypertension (high blood pressure),Prevention of heart attack and stroke,Heart failure,"
Estrabet 2 Tablet,₹ 452.99,"Headache,Nausea,Breast pain,Abdominal cramp,Bloating,Vaginal spotting,Vomiting,","Hormone replacement therapy,"
Etizola 0.5 Tablet,₹ 53.90,"Altered libido,Confusion,Depression,Drowsiness,Fainting,Headache,Muscle coordination impaired,Muscle weakness,Sedation,Slurred speech,Tremor,Visual impairment,","Short term anxiety,Insomnia,"
Eltroxin 25mcg Tablet,₹ 85.90,"Palpitations,Vomiting,Anxiety,Diarrhea,Flushing (sense of warmth in the face, ears, neck and trunk),Weight loss,Nervousness,Restlessness,","Hypothyroidism,"
Etova-MR 400/4 Tablet,₹ 226.50,"Nausea,Vomiting,Heartburn,Stomach pain/epigastric pain,Loss of appetite,Indigestion,Sleepiness,","Pain due to muscle spasm,"
Cipladine Ointment,₹ 24,"Application site reactions (burning, irritation, itching and redness),","Prevention of Wound infection,"
Cutisoft Cream,₹ 142.95,"Application site reactions (burning, irritation, itching and redness),","Treatment of Eczema,"
Cilacar  T Tablet,₹ 129.38,"Sleepiness,Ankle swelling,Headache,Flushing (sense of warmth in the face, ears, neck and trunk),Dizziness,Tiredness,Palpitations,Upset stomach,Increased potassium level in blood,","Hypertension (high blood pressure),"
Cepodem XP 325 Tablet,₹ 357,"Nausea,Diarrhea,Stomach pain,Headache,","Respiratory tract infection,"
Ciplox TZ  Tablet,₹ 141.79,"Nausea,Vomiting,Stomach pain,Dryness in mouth,Metallic taste,Headache,","Treatment of Bacterial & parasitic infections,"
Cardivas 3.125 Tablet,₹ 37,"Decreased blood pressure,Headache,Fatigue,Dizziness,","Hypertension (high blood pressure),Angina (heart-related chest pain),Heart failure,"
Clopitab Tablet,₹ 97.41,"Bleeding,","Prevention of heart attack and stroke,"
Ciplar 10 Tablet,₹ 19.28,"Tiredness,Weakness,Raynaud phenomenon,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,","Hypertension (high blood pressure),Anxiety,Arrhythmia,Prevention of Heart attack,Prevention of Angina (heart-related chest pain),Prevention of Migraine,"
Ciplar-LA 20 Tablet,₹ 46.90,"Tiredness,Weakness,Raynaud phenomenon,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,","Hypertension (high blood pressure),Anxiety,Arrhythmia,Prevention of Heart attack,Prevention of Angina (heart-related chest pain),Prevention of Migraine,"
Cabgolin 0.5 Tablet,₹ 418,"Blurred vision,Drowsiness,Hot flashes,Indigestion,Nausea,Constipation,Dizziness,Fatigue,Headache,Vertigo,Vomiting,","Treatment of High levels of prolactin,"
Ceftas 200 Tablet,₹ 83.37,"Nausea,Stomach pain,Indigestion,Diarrhea,","Bacterial infections,"
Cital Oral Liquid Sugar Free Sugar Free,₹ 82,"Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,","Treatment of Gout,Treatment of Kidney stone,"
Cyra Tablet,₹ 22,"Diarrhea,Dizziness,Flatulence,Headache,Nausea,Sore throat,Stomach pain,Vomiting,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Ciplar-LA 40 Tablet,₹ 89.83,"Tiredness,Weakness,Raynaud phenomenon,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,","Hypertension (high blood pressure),Anxiety,Arrhythmia,Prevention of Heart attack,Prevention of Angina (heart-related chest pain),Prevention of Migraine,"
Clopitab-A 75 Capsule,₹ 91.25,"Abdominal pain,Bruise,Diarrhea,Gastrointestinal bleeding,Increased bleeding tendency,Nosebleeds,","Prevention of heart attack and stroke,"
Crocin Advance Tablet,₹ 15.28,"Stomach pain,Nausea,Vomiting,","Pain relief,Fever,"
Cyclopam Suspension,₹ 89.20,"Nausea,Vomiting,Blurred vision,Drowsiness,Nervousness,Constipation,Diarrhea,Burping,Loss of appetite,","Treatment of Abdominal pain,Treatment of Irritable bowel syndrome,"
Cidmus 50mg Tablet,"₹ 1,096.50","Cough,Dizziness,Orthostatic hypotension (sudden lowering of blood pressure on standing),Altered levels of potassium in blood,Decreased red blood cell count,Decreased blood pressure,Hypoglycemia (low blood glucose level),Diarrhea,Fainting,Headache,Nausea,Stomach pain,Vertigo,Weakness,","Heart failure,"
Corex DX  Syrup,₹ 109.45,"Upset stomach,Sleepiness,","Dry cough,"
Crocin Pain Relief Tablet,₹ 65.73,"Insomnia (difficulty in sleeping),Nervousness,Irritation,Restlessness,","Treatment of Headache,"
Crina-NCR 10mg Tablet,₹ 215.60,"Headache,Dizziness,Breast tenderness,Nausea,Vaginal spotting,Vomiting,Abdominal cramp,","Heavy menstrual bleeding,Pain during menstruation,Endometriosis,Premenstrual syndrome (PMS),"
Ciplox D Eye/Ear Drops,₹ 19.96,"Application site reactions (burning, irritation, itching and redness),","Treatment of Bacterial eye / ear infections,Treatment of Eye infection with inflammation,"
Cardace 2.5 Tablet,₹ 83.33,"Dizziness,Drowsiness,Dry cough,Headache,Fatigue,Nausea,Vomiting,Decreased blood pressure,","Hypertension (high blood pressure),Prevention of heart attack and stroke,Heart failure,"
Cilacar 10 Tablet,₹ 98.89,"Fatigue,Sleepiness,Flushing (sense of warmth in the face, ears, neck and trunk),Headache,Nausea,Dizziness,Palpitations,Edema (swelling),Abdominal pain,","Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),Prevention of Heart attack,Prevention of Stroke,"
Candiforce 200 Capsule,₹ 153.47,"Nausea,Common cold,Cough,Blurred vision,Menstrual disorder,","Fungal infections,"
Cifran 500 Tablet,₹ 40.72,"Nausea,Diarrhea,","Bacterial infections,"
Codistar-DX Cough Syrup,₹ 83.44,"Upset stomach,Sleepiness,","Dry cough,"
Carnisure 500 Tablet,₹ 305.10,"Vomiting,Nausea,","Carnitine deficiency,"
CTD 6.25 Tablet,₹ 85.10,"Headache,Nausea,Dizziness,","Hypertension (high blood pressure),Treatment of Edema,"
Clobetamil G Cream,₹ 28.10,"Application site reactions (burning, irritation, itching and redness),Thinning of skin,","Bacterial skin infections,"
Grilinctus  Syrup,₹ 114.99,"Nausea,Upset stomach,Diarrhea,Stomach pain,Vomiting,Allergic reaction,Sleepiness,Dizziness,Headache,Rash,Hives,","Cough,"
Gabapin NT Tablet,₹ 408,"Constipation,Difficulty in urination,Weight gain,Sleepiness,Dizziness,Tiredness,Blurred vision,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing),Increased heart rate,Uncoordinated body movements,","Neuropathic pain,"
Glycomet-GP 1 Tablet PR,₹ 106,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Glycomet 500 SR Tablet,₹ 42.78,"Nausea,Vomiting,Taste change,Diarrhea,Abdominal pain,Loss of appetite,","Type 2 diabetes mellitus,"
Glycomet-GP 2 Tablet PR,₹ 155.50,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Grilinctus-BM Syrup,₹ 96.68,"Nausea,Indigestion,Bloating,Diarrhea,Dizziness,Headache,Tremor,Sweating,Skin rash,Increased heart rate,Palpitations,","Cough,"
Gudcef 200 Tablet,₹ 145.20,"Rash,Nausea,Diarrhea,","Bacterial infections,"
Gabapin NT 100 Tablet,₹ 147,"Constipation,Difficulty in urination,Weight gain,Sleepiness,Dizziness,Tiredness,Blurred vision,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing),Increased heart rate,Uncoordinated body movements,","Neuropathic pain,"
Gudcef-CV 200 Tablet,₹ 264,"Nausea,Diarrhea,Stomach pain,Headache,","Respiratory tract infection,"
Galvus Met 50mg/500mg Tablet,₹ 300,"Nausea,Vomiting,Diarrhea,Stomach pain,Loss of appetite,Dizziness,Headache,Trembling,Metallic taste,Hypoglycemia (low blood glucose level),","Type 2 diabetes mellitus,"
Gemer 1 Tablet PR,₹ 84.80,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Glyciphage SR 500mg Tablet,₹ 21.20,"Nausea,Vomiting,Taste change,Diarrhea,Abdominal pain,Loss of appetite,","Type 2 diabetes mellitus,"
Gluxit 10mg Tablet,₹ 145,"Fungal infection of vagina,Nasopharyngitis (inflammation of the throat and nasal passages),Urinary tract infection,","Type 2 diabetes mellitus,"
Gabapin 100 Tablet,₹ 119,"Dizziness,Fatigue,Fever,Impaired coordination,Nausea,Nystagmus (involuntary eye movement),Peripheral edema,Sleepiness,Viral infection,Vomiting,","Neuropathic pain,Epilepsy/Seizures,"
Ganaton Tablet,₹ 138.35,"Dryness in mouth,Sleepiness,Stomach pain,Diarrhea,Headache,","Heartburn,Nausea,"
Glynase-MF Tablet,₹ 16.85,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Stomach pain,Diarrhea,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Gemer 2 Tablet PR,₹ 121,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Genteal Eye Drop,₹ 182,"Blurred vision,Eye irritation,Eye pain,Eye redness,Foreign body sensation in eyes,","Dry eyes,"
Glycomet Trio 2 Tablet SR,₹ 186.50,"Hypoglycemia (low blood glucose level),Nausea,Diarrhea,Taste change,Flatulence,Stomach pain,Headache,Skin rash,Respiratory tract infection,","Type 2 diabetes mellitus,"
Glimestar-M 1 Tablet PR,₹ 59.84,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Goutnil 0.5mg Tablet,₹ 34.94,"Nausea,Vomiting,Abdominal pain,Diarrhea,","Gout,"
Glycomet Tablet,₹ 16.80,"Nausea,Vomiting,Taste change,Diarrhea,Abdominal pain,Loss of appetite,","Type 2 diabetes mellitus,"
Glycomet 1gm Tablet SR,₹ 61.15,"Nausea,Vomiting,Taste change,Diarrhea,Abdominal pain,Loss of appetite,","Type 2 diabetes mellitus,"
Grilinctus-L Oral Suspension,₹ 118,"Nausea,Drowsiness,Dizziness,Dryness in mouth,Fatigue,","Treatment of Dry cough,"
Grenil Tablet,₹ 46.50,"Dryness in mouth,","Migraine,"
Ganaton Total Capsule SR,₹ 384.60,"Diarrhea,Stomach pain,Headache,Flatulence,Dizziness,Increased saliva production,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,"
Glizid-M Tablet,₹ 152.96,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Glycomet-GP 0.5 Tablet SR,₹ 53,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Glycomet-GP 2 Forte Tablet SR,₹ 99.74,"Hypoglycemia (low blood glucose level),Taste change,Nausea,Diarrhea,Stomach pain,Headache,Upper respiratory tract infection,","Type 2 diabetes mellitus,"
Galvus 50mg Tablet,₹ 299,"Hypoglycemia (low blood glucose level),Tremor,Headache,Dizziness,Fatigue,Nausea,","Type 2 diabetes mellitus,"
Fabiflu Tablet,"₹ 1,292","Increased uric acid level in blood,Diarrhea,Decreased white blood cell count (neutrophils),Increased liver enzymes,","Treatment of Coronavirus disease (COVID-19),"
Fabiflu 400 Tablet,"₹ 1,224","Increased uric acid level in blood,Diarrhea,Decreased white blood cell count (neutrophils),Increased liver enzymes,","Treatment of Coronavirus disease (COVID-19),"
Folvite 5mg Tablet,₹ 68.78,"Abdominal distension,Flatulence,Nausea,Weight loss,","Treatment of Anemia due to folic acid deficiency,"
Fungicros Cream,₹ 168,"Limited data available,","Treatment of Fungal infections,"
Fluguard 400 Tablet,₹ 650,"Increased uric acid level in blood,Diarrhea,Decreased white blood cell count (neutrophils),Increased liver enzymes,","Treatment of Coronavirus disease (COVID-19),"
Fluvir 75mg Capsule,₹ 539,"Nausea,Vomiting,Abdominal pain,Diarrhea,","Influenza (flu),"
Flexon Tablet,₹ 24.05,"Heartburn,Indigestion,Nausea,Stomach pain,","Pain relief,Fever,"
Flagyl 400 Tablet,₹ 21.33,"Headache,Dryness in mouth,Nausea,Metallic taste,","Bacterial infections,Parasitic infections,"
Flavedon MR Tablet,₹ 119,"Dizziness,Headache,Nausea,Vomiting,Weakness,Abdominal pain,Diarrhea,Indigestion,Itching,Rash,Hives,","Angina (heart-related chest pain),"
Febrex Plus Tablet,₹ 55.90,"Nausea,Vomiting,Allergic reaction,Sleepiness,Headache,Dizziness,","Common cold symptoms,"
Flexon MR Tablet,₹ 21.95,"Nausea,Indigestion,Stomach pain,Weakness,Dizziness,Sleepiness,Heartburn,","Pain due to muscle spasm,"
Faviblu 400mg Tablet,₹ 580,"Increased uric acid level in blood,Diarrhea,Decreased white blood cell count (neutrophils),Increased liver enzymes,","Treatment of Coronavirus disease (COVID-19),"
Forxiga 10mg Tablet,₹ 802.90,"Fungal infection of vagina,Nasopharyngitis (inflammation of the throat and nasal passages),Urinary tract infection,","Type 2 diabetes mellitus,"
Foracort Inhaler 200,₹ 358.75,"Cough,Fungal infection of mouth,Headache,Hoarseness of voice,Increased heart rate,Musculoskeletal (bone, muscle or joint) pain,Nausea,Respiratory tract infection,Sore throat,Vomiting,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Febutaz 40 Tablet,₹ 119,"Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,","Gout,"
Finax Tablet,₹ 259.50,"Decreased libido,Erectile dysfunction,Ejaculation disorder,","Treatment of Hair loss,"
Foivir 200mg Tablet,₹ 312.50,"Increased uric acid level in blood,Diarrhea,Decreased white blood cell count (neutrophils),Increased liver enzymes,","Treatment of Coronavirus disease (COVID-19),"
Famocid 40 Tablet,₹ 8,"Headache,Dizziness,Diarrhea,Constipation,","Gastroesophageal reflux disease (Acid reflux),Peptic ulcer disease,Treatment of Heartburn,"
Fucidin Cream,₹ 50.89,"Application site reactions (burning, irritation, itching and redness),","Bacterial skin infections,"
Faviblu 200mg Tablet,₹ 320,"Increased uric acid level in blood,Diarrhea,Decreased white blood cell count (neutrophils),Increased liver enzymes,","Treatment of Coronavirus disease (COVID-19),"
Femilon Tablet,₹ 250,"Nausea,Stomach pain,Headache,Irregular uterine bleeding,Weight gain,Breast pain,","Contraception,"
Fludac Capsule,₹ 61.04,"Erectile dysfunction,Indigestion,Influenza like syndrome,Loss of appetite,Low sexual desire,Nausea,Sore throat,Sweating,Tremor,Weakness,Yawning,Abnormal dreams,Delayed ejaculation,Dryness in mouth,Insomnia (difficulty in sleeping),Nervousness,Sleepiness,Sinus infection,","Depression,Panic disorder,Obsessive-compulsive disorder,"
Fucibet Cream,₹ 67,"Application site reactions (burning, irritation, itching and redness),","Skin infections,"
Faronem 200 Tablet,₹ 517,"Rash,Nausea,Abdominal pain,Diarrhea,","Severe bacterial infections,"
Fluguard Tablet,₹ 350,"Increased uric acid level in blood,Diarrhea,Decreased white blood cell count (neutrophils),Increased liver enzymes,","Treatment of Coronavirus disease (COVID-19),"
Febuget 40 Tablet,₹ 119,"Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,","Gout,"
Farobact 200 Tablet,₹ 572.99,"Rash,Nausea,Abdominal pain,Diarrhea,","Severe bacterial infections,"
Flexura D Tablet,₹ 174,"Nausea,Vomiting,Stomach pain/epigastric pain,Heartburn,Diarrhea,Sleepiness,Loss of appetite,","Pain due to muscle spasm,"
Flomist Nasal Spray,₹ 351.38,"Nasal irritation,Headache,Nosebleeds,","Sneezing and runny nose due to allergies,"
Flutivate Cream,₹ 161.35,"Application site reactions (burning, irritation, itching and redness),","Treatment of Skin conditions with inflammation & itching,"
Dynaglipt Tablet,₹ 71.50,"Hypoglycemia (low blood glucose level),Constipation,","Type 2 diabetes mellitus,"
Duonase Nasal Spray,₹ 401.74,"Taste change,Headache,Nosebleeds,","Sneezing and runny nose due to allergies,"
Daparyl 10 Tablet,₹ 119,"Fungal infection of vagina,Nasopharyngitis (inflammation of the throat and nasal passages),Urinary tract infection,","Type 2 diabetes mellitus,"
Duolin 3 Respules 3ml,₹ 93.75,"Dryness in mouth,Breathlessness,Cough,Tremor,Headache,Palpitations,Muscle cramp,","Chronic obstructive pulmonary disease (COPD),"
Dubinor Tablet,₹ 187.50,"Constipation,Weight gain,Orthostatic hypotension (sudden lowering of blood pressure on standing),Increased heart rate,Dizziness,Sleepiness,Tiredness,Blurred vision,Dryness in mouth,Difficulty in urination,Uncoordinated body movements,","Neuropathic pain,"
Doxinate Plus Tablet,₹ 210.10,"Dryness in mouth,Constipation,Drowsiness,Lightheadedness,","Nausea and vomiting in pregnancy,"
Diamicron XR 60 Tablet,₹ 196,"Upset stomach,Indigestion,Hypoglycemia (low blood glucose level),","Type 2 diabetes mellitus,"
Dabigo 110mg Capsule,₹ 135,"Bleeding,Nausea,Stomach pain,Indigestion,","Treatment and prevention of Blood clots,"
Decmax  4mg Tablet,₹ 40,"Cardiovascular complications,Electrolyte imbalance,Gastrointestinal disorder,Metabolic disorder,Musculoskeletal (bone, muscle or joint) pain,Neurological disorder,Infection,Hiccup,Decreased sperm count,Feeling of discomfort,Cushing syndrome,Weight gain,","Inflammatory conditions,Autoimmune conditions,Cancer,"
